Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","",138.000000,-86.000000,0.000000,top
"C2","4.7uF","",124.000000,-91.000000,0.000000,top
"D1","5MM RGB COMMON ANODE","",68.500000,-31.000000,0.000000,top
"DS1","HOSYOND 2.42in SSD1309 - 5 WIRE J6 HARNESS","",46.500000,-63.500000,0.000000,top
"H1","","",5.000000,-5.000000,0.000000,top
"H2","","",145.000000,-5.000000,0.000000,top
"H3","","",5.000000,-95.000000,0.000000,top
"H4","","",145.000000,-95.000000,0.000000,top
"J1","IPC-100 J10","",128.000000,-95.000000,0.000000,top
"J3","IPC-100 J8A STOP","",139.000000,-92.000000,0.000000,top
"R1","10k RESET","",116.000000,-67.000000,0.000000,top
"R2","1k RED","",65.000000,-35.500000,90.000000,top
"R3","1k GREEN","",68.500000,-35.500000,90.000000,top
"R4","1k BLUE","",72.000000,-35.500000,90.000000,top
"SW1","ARM B3F-4055","",33.500000,-20.750000,0.000000,top
"SW2","PULL B3F-4055","",103.500000,-20.750000,0.000000,top
"SW3","ADAFRUIT 504 - VERIFY PIN MAP","",105.000000,-63.500000,0.000000,top
"TP1","+3V3","",110.000000,-90.000000,0.000000,top
"TP2","GND","",106.000000,-90.000000,0.000000,top
"TP3","SDA","",102.000000,-88.000000,0.000000,top
"TP4","SCL","",98.000000,-86.000000,0.000000,top
"U1","TCA8418RTWR","",124.000000,-78.000000,0.000000,top
