feature,value_mm,notes
installed_envelope,156x81.954x101.6,Width x maximum projection x height
faceplate,150x100x2,Centered with 3 mm side margins
face_angle,47,Degrees upward from vertical
nominal_wall,3,Shell wall
face_boss,11x9,Diameter x depth
face_screw_clearance,3.4,M3 through clearance
face_nut_trap,5.8x2.7,Across flats x depth for captive M3 hex nut
wood_mount_x,16 and 140,From left installed edge
wood_mount_z,19 and 82,From bottom installed edge
wood_screw_clearance,4.5,Four holes
wood_screw_head_recess,9.5,Maximum head diameter
cable_exit,42x20,Centered at lower rear
registration_rails,1.2,Left and right faceplate rails
