feature,x_mm,y_mm,cutout_or_hole_mm,status
PCB_OUTLINE,0..100,0..140,100x140,PROVISIONAL
H1,5,5,3.2,PROVISIONAL
H2,95,5,3.2,PROVISIONAL
H3,5,135,3.2,PROVISIONAL
H4,95,135,3.2,PROVISIONAL
OLED_MH_LL,34.75,102,2.5,ADAFRUIT_938_CURRENT_REV
OLED_MH_LR,65.25,102,2.5,ADAFRUIT_938_CURRENT_REV
OLED_MH_UL,34.75,130,2.5,ADAFRUIT_938_CURRENT_REV
OLED_MH_UR,65.25,130,2.5,ADAFRUIT_938_CURRENT_REV
NAV_SW3,50,83,SAMPLE_REQUIRED,FAB_HOLD
START_SW1,28,55,CAP_DEPENDENT,PROVISIONAL
STOP_PANEL,72,55,22.3,VERIFY_EXACT_OPERATOR
PULL_SW2,50,25,CAP_DEPENDENT,PROVISIONAL
