feature,x_mm,y_mm,cutout_or_hole_mm,status
H1,5,5,3.2,REV_B_TESTFIT_DATUM
H2,145,5,3.2,REV_B_TESTFIT_DATUM
H3,5,95,3.2,REV_B_TESTFIT_DATUM
H4,145,95,3.2,REV_B_TESTFIT_DATUM
OLED_CENTER,54.5,63.5,57x28_WINDOW,REV_D_FACEPLATE_ONLY_SHIFT_RIGHT_8MM
OLED_MH_LL,20.1,44.1,3.2,REV_D_FACEPLATE_ONLY_SHIFT_RIGHT_8MM
OLED_MH_LR,88.9,44.1,3.2,REV_D_FACEPLATE_ONLY_SHIFT_RIGHT_8MM
OLED_MH_UL,20.1,82.9,3.2,REV_D_FACEPLATE_ONLY_SHIFT_RIGHT_8MM
OLED_MH_UR,88.9,82.9,3.2,REV_D_FACEPLATE_ONLY_SHIFT_RIGHT_8MM
NAV_SW3,105,63.5,8.0_STEM_OPENING,REV_C_CLEARANCE
NAV_CAP_SOCKET,105,63.5,3.30x3.30x3.50_DEEP,TRAILBOSS_P504_REFERENCE
ARM_SW1,33.5,20.75,16x10.8_CAP_OPENING,REV_C
STATUS_LED,68.5,31,5.2,REV_C
PULL_SW2,103.5,20.75,16x10.8_CAP_OPENING,REV_C
POWER_SWITCH_RESERVE,132,63.5,TBD,NO_CUTOUT_UNTIL_PART_SELECTED
PRODUCT_LOGO,75,7,CROSSWIND_RECESSED_FRONT,REV_C
